M047		0.07	0.07
M048		0.19	0.07
M017		0.9	0.65
M023		0.65	0.5
M022		0.65	0.65
M021		0.65	0.77
M019		0.77	0.77
M020		0.77	0.88
M026		0.56	0.79
M037		0.35	0.55
M038		0.38	0.65
M039		0.38	0.76
M040		0.38	0.86
M041		0.38	0.9
M031		0.15	0.68
M032		0.15	0.79
M033		0.15	0.9
M034		0.26	0.9
M035		0.26	0.79
M036		0.26	0.68
M030		0.29	0.61
M027		0.07	0.55
M028		0.19	0.55
M029		0.3	0.55
M042		0.3	0.45
M043		0.19	0.45
M044		0.2	0.37
M045		0.07	0.28
M046		0.07	0.17
M049		0.19	0.16
M050		0.19	0.28
M001		0.65	0.45
M002		0.57	0.34
M003		0.57	0.21
M004		0.57	0.08
M005		0.68	0.08
M006		0.68	0.21
M007		0.68	0.34
M009		0.8	0.34
M010		0.8	0.21
M011		0.8	0.08
M012		0.92	0.08
M013		0.92	0.21
M014		0.92	0.34
M015		0.89	0.45
M016		0.89	0.5
M008		0.77	0.4
L001		0.05	0.37
L003		0.13	0.53
L004		0.14	0.95
L005		0.45	0.63
L006		0.38	0.8
L007		0.38	0.95
L008		0.75	0.25
L010		0.88	0.61
L011		0.76	0.91
M025		0.56	0.92
M024		0.65	0.92
M051		0.88	0.9
M018		0.89	0.77
